id,updated,rating,version,author,title,content,vote_count
13381153095,2025-11-10T08:11:16-07:00,1,20.45.3,umichscoots,Cannot download movie purchases before flight: Download Failed”,"Several of my purchases are not downloading for offline viewing. I bought them specifically for flights, and now I cannot watch them. It gives no reason other than that the download failed. So frustrating.",0
13381144837,2025-11-10T08:08:57-07:00,2,20.45.3,Diqfuk,Needs work,"YouTube is YouTube, you can’t complain too much. But I keep my app updated, and the shorts freeze so frequently. I’ll notice they freeze about two thirds into the short and I know it’s time to see if the app needs updating. Sometimes there is no update, leaving me to assume this is how the developers intended it to work. And not to mention, the app needs updates every other day. With that many updates it’s hard to fathom why there are so many instances. I’ve restarted my phone, used strictly cellular, and strictly WiFi, no difference. I don’t leave a lot of reviews, but this has been ongoing for months, and I hope my feedback can be of use.",0
13381051978,2025-11-10T07:42:50-07:00,5,20.45.3,TomJR1266,It is just a good thing,I like it,0
13380949039,2025-11-10T07:14:12-07:00,1,20.45.3,riccio m,Shorts are terrible,I deleted the app and just use yt in my browser now so I can completely avoid shorts 👍,0
13380933245,2025-11-10T07:09:48-07:00,1,20.45.3,Akkabfkan,Ruined by ads,"I remember when YouTube wasn’t mostly ads, and the ads allowed now are ridiculous. Such a shame YouTube",1
13380863901,2025-11-10T06:50:39-07:00,5,20.45.3,DDOCMB,Ok,Great and helpful information,0
13380860177,2025-11-10T06:49:37-07:00,3,20.45.3,Mamama 1673,Sovereign citizen,Boring because the judge is continue to listen to that dribble and they should have a hand the response that is required to shut it down very boring,0
13380859417,2025-11-10T06:49:23-07:00,5,20.45.3,𝑁𝑎𝑛𝑖🙏🏼,YouTube,Lo Amoooo❤️,0
13380823888,2025-11-10T06:39:33-07:00,5,20.45.3,Sprunkilover67,YouTube is cool,I love YouTube,0
13380724652,2025-11-10T06:12:10-07:00,1,20.45.3,2 eeat,Prejudicial,Is telling the truth Antisemitic? When has factually telling the Truth become a violation of free speech? Why do People create the lie? Because they know it travels faster than the TRUTH!,0
